industry,adopting,not_adopting,not_aware
Health and education,35,12,5
Manufacturing,28,15,8
Services,20,25,8
Hospitality,20,25,10
Distribution,22,25,10
Construction,25,18,15
Retail trade,18,30,12
Agriculture,12,35,22
