occupation,pct
Arts and media professionals,7.6
ICT professionals,5.1
Education professionals,2.8
Business HR and marketing,1.8
Design engineering and science,1.4
Chief executives,1.1
Specialist managers,0.9
Construction trades,0.8
Automotive trades,0.8
Health professionals,0.1
Hospitality workers,0.1
Road and rail drivers,0.1
